"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV1","Bacteria","Cyanobacteriota","Cyanobacteriia","Chloroplast",NA,NA,NA
"ASV2","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA
"ASV3","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV4","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV5","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales","Morganellaceae","Buchnera","aphidicola"
"ASV6","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Methylophilaceae","Methylophilus",NA
"ASV7","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
"ASV8","Bacteria","Pseudomonadota","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Telmatospirillum",NA
"ASV9","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV10","Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","env.OPS 17",NA,NA
"ASV11","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Piscinibacter",NA
"ASV12","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA
"ASV13","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus",NA
"ASV14","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax",NA
"ASV15","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Neorhizobium",NA
"ASV16","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Rhodanobacter",NA
"ASV17","Bacteria","Pseudomonadota","Gammaproteobacteria","Lysobacterales","Rhodanobacteraceae","Rhodanobacter",NA
"ASV18","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA
"ASV19","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Oleiharenicola",NA
"ASV20","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae","Eoetvoesia",NA
"ASV21","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
