sample,system,season,day,point,type
HKPInvitro_Positive_control_1_1,na,na,na,na,pos
kovac1_ab_di_f_18,di,f,18,f4,sam
kovac1_ab_di_f_bc,di,f,bc,fbc,sam
kovac1_ab_di_f_4,di,f,4,f2,sam
kovac1_ab_di_s_0,di,s,0,s1,sam
kovac1_ab_di_s_19,di,s,19,s4,sam
kovac1_ab_di_s_25,di,s,25,s5,sam
kovac1_ab_di_s_33,di,s,33,s6,sam
kovac1_ab_di_s_35,di,s,35,s7,sam
kovac1_ab_di_s_bc,di,s,bc,sbc,sam
kovac1_ab_dw_f_4,dw,f,4,f2,sam
kovac1_ab_dw_s_35,dw,s,35,s7,sam
kovac1_ab_dwc_f_25,dw,f,25,f5,sam
kovac1_ab_dwc_f_32,dw,f,32,f6,sam
kovac1_ab_dwc_f_8,dw,f,8,f3,sam
kovac1_ab_dwc_f_0,dw,f,0,f1,sam
kovac1_ab_dwc_f_18,dw,f,18,f4,sam
kovac1_ab_dwc_f_bc,dw,f,bc,fbc,sam
kovac1_ab_dwc_s_0,dw,s,0,f1,sam
kovac1_ab_dwc_s_19,dw,s,19,s4,sam
kovac1_ab_dwc_s_25,dw,s,25,s5,sam
kovac1_ab_dwc_s_33,dw,s,33,s6,sam
kovac1_ab_dwc_s_5,dw,s,5,s2,sam
kovac1_ab_dwc_s_bc,dw,s,bc,sbc,sam
kovac1_ab_dwc_s_12,dw,s,12,s3,sam
kovac1_ab_ef_f_0,ef,f,0,f1,sam
kovac1_ab_ef_f_18,ef,f,18,f4,sam
kovac1_ab_ef_f_36,ef,f,36,f7,sam
kovac1_ab_ef_f_4,ef,f,4,f2,sam
kovac1_ab_ef_f_8,ef,f,8,f3,sam
kovac1_ab_ef_f_bc,ef,f,bc,fbc,sam
kovac1_ab_ef_f_25,ef,f,25,f5,sam
kovac1_ab_ef_f_32,ef,f,32,f6,sam
kovac1_ab_ef_s_0,ef,s,0,s1,sam
kovac1_ab_ef_s_12,ef,s,12,s3,sam
kovac1_ab_ef_s_25,ef,s,25,s5,sam
kovac1_ab_ef_s_33,ef,s,33,s6,sam
kovac1_ab_ef_s_35,ef,s,35,s7,sam
kovac1_ab_ef_s_5,ef,s,5,s2,sam
kovac1_ab_ef_s_bc,ef,s,bc,sbc,sam
kovac1_ab_ef_s_19,ef,s,19,s4,sam
kovac1_ab_kr_f_0,kr,f,0,f1,sam
kovac1_ab_kr_f_18,kr,f,18,4f,sam
kovac1_ab_kr_f_36,kr,f,36,f7,sam
kovac1_ab_kr_f_4,kr,f,4,f2,sam
kovac1_ab_kr_f_8,kr,f,8,f3,sam
kovac1_ab_kr_f_bc,kr,f,bc,fbc,sam
kovac1_ab_kr_f_25,kr,f,25,f5,sam
kovac1_ab_kr_f_32,kr,f,32,6f,sam
kovac1_ab_kr_s_0,kr,s,0,s1,sam
kovac1_ab_kr_s_19,kr,s,19,s4,sam
kovac1_ab_kr_s_35,kr,s,35,s7,sam
kovac1_ab_kr_s_5,kr,s,5,s2,sam
kovac1_ab_kr_s_bc,kr,s,bc,sbc,sam
kovac1_ab_kr_s_25,kr,s,25,s5,sam
kovac1_ab_neg_118_L001,na,na,na,na,neg
kovac1_ab_di_f_0,di,f,0,f1,sam
kovac1_ab_nf_f_bc,nf,f,bc,fbc,sam
kovac1_ab_nft_f_18,nf,f,18,f4,sam
kovac1_ab_nft_f_25,nf,f,25,f5,sam
kovac1_ab_nft_f_32,nf,f,32,f6,sam
kovac1_ab_nft_f_36,nf,f,36,f7,sam
kovac1_ab_nf_s_5,nf,s,5,s2,sam
kovac1_ab_nft_f_0,nf,f,0,f1,sam
kovac1_ab_nft_f_4,nf,f,4,f2,sam
kovac1_ab_nft_f_8,nf,f,8,f3,sam
kovac1_ab_nft_s_12,nf,s,12,s3,sam
kovac1_ab_nft_s_19,nf,s,19,s4,sam
kovac1_ab_nft_s_25,nf,s,25,s5,sam
kovac1_ab_nft_s_33,nf,s,33,s6,sam
kovac1_ab_nft_s_35,nf,s,35,s7,sam
kovac1_ab_nft_s_0,nf,s,0,s1,sam
kovac1_ab_nft_s_bc,nf,s,bc,sbc,sam
kovac1_ab_ns_f_0,ns,f,0,f1,sam
kovac1_ab_ns_f_32,ns,f,32,f6,sam
kovac1_ab_ns_f_36,ns,f,36,f7,sam
kovac1_ab_ns_f_4,ns,f,4,f2,sam
kovac1_ab_ns_f_8,ns,f,8,f3,sam
kovac1_ab_ns_f_18,ns,f,18,f4,sam
kovac1_ab_ns_f_25,ns,f,25,f5,sam
kovac1_ab_ns_s_0,ns,s,0,s1,sam
kovac1_ab_ns_s_19,ns,s,19,s4,sam
kovac1_ab_ns_s_25,ns,s,25,s5,sam
kovac1_ab_ns_s_33,ns,s,33,s6,sam
kovac1_ab_ns_s_35,ns,s,35,s7,sam
kovac1_ab_ns_s_5,ns,s,5,s2,sam
kovac1_ab_ns_s_12,ns,s,12,s3,sam
kovac1_ab_ro_f_0,ro,f,0,f1,sam
kovac1_ab_ro_f_32,ro,f,32,f6,sam
kovac1_ab_ro_f_4,ro,f,4,f2,sam
kovac1_ab_ro_f_8,ro,f,8,f3,sam
kovac1_ab_ro_f_18,ro,f,18,f4,sam
kovac1_ab_ro_f_25,ro,f,25,f5,sam
kovac1_NTC_Plate1_H12_1,na,na,na,na,con
