sample,system,season,day,point,type
kovac1rep_ab_di_f_0,di,f,0,1,sample
kovac1rep_ab_di_f_18,di,f,18,4,sample
kovac1rep_ab_di_f_36,di,f,36,7,sample
kovac1rep_ab_di_f_4,di,f,4,2,sample
kovac1rep_ab_di_s_0,di,s,0,1,sample
kovac1rep_ab_di_s_19,di,s,19,4,sample
kovac1rep_ab_di_s_25,di,s,25,5,sample
kovac1rep_ab_di_s_33,di,s,33,6,sample
kovac1rep_ab_di_s_bc,di,s,bc,na,sample
kovac1rep_ab_dwc_f_0,dwc,f,0,1,sample
kovac1rep_ab_dwc_f_18,dwc,f,18,4,sample
kovac1rep_ab_dwc_f_25,dwc,f,25,5,sample
kovac1rep_ab_dwc_f_32,dwc,f,32,6,sample
kovac1rep_ab_dwc_f_36,dwc,f,36,7,sample
kovac1rep_ab_dwc_f_8,dwc,f,8,3,sample
kovac1rep_ab_dwc_s_12,dwc,s,12,3,sample
kovac1rep_ab_dwc_s_19,dwc,s,19,4,sample
kovac1rep_ab_dwc_s_5,dwc,s,5,2,sample
kovac1rep_ab_dwc_s_bc,dwc,s,bc,na,sample
kovac1rep_ab_ef_f_0,ef,f,0,1,sample
kovac1rep_ab_ef_f_18,ef,f,18,4,sample
kovac1rep_ab_ef_f_25,ef,f,25,5,sample
kovac1rep_ab_ef_f_32,ef,f,32,6,sample
kovac1rep_ab_ef_f_36,ef,f,36,7,sample
kovac1rep_ab_ef_f_4,ef,f,4,2,sample
kovac1rep_ab_ef_f_8,ef,f,8,3,sample
kovac1rep_ab_ef_s_0,ef,s,0,1,sample
kovac1rep_ab_ef_s_12,ef,s,12,3,sample
kovac1rep_ab_ef_s_19,ef,s,19,4,sample
kovac1rep_ab_ef_s_25,ef,s,25,5,sample
kovac1rep_ab_ef_s_33,ef,s,33,6,sample
kovac1rep_ab_ef_s_5,ef,s,5,2,sample
kovac1rep_ab_ef_s_bc,ef,s,bc,na,sample
kovac1rep_ab_kr_f_0,kr,f,0,1,sample
kovac1rep_ab_kr_f_18,kr,f,18,4,sample
kovac1rep_ab_kr_f_25,kr,f,25,5,sample
kovac1rep_ab_kr_f_32,kr,f,32,6,sample
kovac1rep_ab_kr_f_36,kr,f,36,7,sample
kovac1rep_ab_kr_f_4,kr,f,4,2,sample
kovac1rep_ab_kr_f_8,kr,f,8,3,sample
kovac1rep_ab_kr_s_12,kr,s,12,3,sample
kovac1rep_ab_kr_s_19,kr,s,19,4,sample
kovac1rep_ab_kr_s_25,kr,s,25,5,sample
kovac1rep_ab_kr_s_5,kr,s,5,2,sample
kovac1rep_ab_kr_s_bc,kr,s,bc,na,sample
kovac1rep_ab_nf_s_5,nf,s,5,2,sample
kovac1rep_ab_nft_f_0,nf,f,0,1,sample
kovac1rep_ab_nft_f_18,nf,f,18,4,sample
kovac1rep_ab_nft_f_25,nf,f,25,5,sample
kovac1rep_ab_nft_f_32,nf,f,32,6,sample
kovac1rep_ab_nft_f_36,nf,f,36,7,sample
kovac1rep_ab_nft_f_4,nf,f,4,2,sample
kovac1rep_ab_nft_f_8,nf,f,8,3,sample
kovac1rep_ab_nft_s_0,nf,s,0,1,sample
kovac1rep_ab_nft_s_12,nf,s,12,3,sample
kovac1rep_ab_nft_s_19,nf,s,19,4,sample
kovac1rep_ab_nft_s_33,nf,s,33,6,sample
kovac1rep_ab_nft_s_bc,nf,s,bc,na,sample
kovac1rep_ab_ns_f_18,ns,f,18,4,sample
kovac1rep_ab_ns_f_25,ns,f,25,5,sample
kovac1rep_ab_ns_f_32,ns,f,32,6,sample
kovac1rep_ab_ns_f_36,ns,f,36,7,sample
kovac1rep_ab_ns_f_4,ns,f,4,2,sample
kovac1rep_ab_ns_f_8,ns,f,8,3,sample
kovac1rep_ab_ns_s_12,ns,s,12,3,sample
kovac1rep_ab_ns_s_19,ns,s,19,4,sample
kovac1rep_ab_ns_s_25,ns,s,25,5,sample
kovac1rep_ab_ns_s_33,ns,s,33,6,sample
